nancymarks81| As if all men were not watching anything until she came. You taklu is already morally corrupted to ask such unwanted questions. Can someone please slap him? I'm not supportive of her past profession at all but why keep dragging the past. Move on people, she is out of it, you too come out of it.
Summaiya Anjum| Is ths interview of promoting her movie.. Or her past.. Or her character..!!!  Profession doesn't preview a person 's character.. Lucky guy..  Ur not been slapped by her.. 😡😠
nancymarks81| Such a stupid guy, wonder why she didn't slap him... Asking questions to upset her more..
Summaiya Anjum| Respect!! ❤ to d way sunny answrd thse questn..
Ranjith Nair| The way she handled the interview was superb
Nikitha Devraj| the host seems nervous,  stammering through out the interview
Mano Sanu| Fuck this BASTERD INTERVIEWER ..
Nosa Rote| I love her more from this interview😍She is so real...❤
Priya gupta| Your answers are mind blowing, and we indian like you so much as an actress you have a beautiful soul with a lovely smile. Love you lotttt.
aj devid zac| what rubbish questions...!! sunny we love u..
Daily Laugh| Ye takla apni maa behn ki izzat bhi nahi krta hoga. Randwa
Daily Laugh| Kutta takla
Daily Laugh| I came here after seeing her ~ untold story of sunny leone. This guy is such a pathetic person .
Prama Banerjee| This obnoxious asshole... she is way younger than you.... U r not a good person...
Prama Banerjee| She handled the interview really well... She maintained her cool through all this even though this person was being an obnoxious piece of s**t
Kishan Dhagal| 12:30 , extreme
Sweety A| You are so brave Sunny......God Bless you dear.
Shabnam Mohammad| Seriously, this guy, god please save india from these kind of journalists, not only india from world, please save this world from all this **************** people
Deepak Bhandari| Sunny .....Respect to you
Ariana D'Mirza| When the question arived about Aamir Khan, that "would Aamir Khan ever like to work with you?", the moment was super awkward, hurting and disgraceful to even hear.. And by the way, who doesn't claim her works as an art?.. But she replied well that - she is an entertainer.. 💖.. I hope Aamir Khan is not a type of human to hate someone in fear of losing self's fame!..
Ariana D'Mirza| Imagining myself on that hotseat facing the exact same questions , seriously, I could have busted into tears. #she_is_strong , #but_she_too_have_sentiments
Puja Sharma| Wat an asshole chaubey is
Atish Ujgare| Applause for Sunny👏 and 🖕for the Chutiya interviewer Learn to respect women
Uday Kiran| Respect to Sunny ! huge salute.
Jai Joshi| She should have slapped him
Music hacker| Who come after watching Karenjit Kaur - The Untold Story of Sunny Leone??? But truly this interview is fully rubbish.sunny u cool person ...love you
Akash Singh| Bhupendra chaubey Shame on u
Nagarjun ch| This reporter is so mean..what a douchebag..
Parth Rao| I found her honest all the way... So she had no problem answering those tricky questions ...
Parth Rao| Here after watching Karenjit
Ankita Biswakarma| Saree doesn't cover you from "head to toe" for your kind information.
Barnali Debnath| He is very cheap in his thought... The journalist....very very cheap. His action facial expression...looks vulgar...
Barnali Debnath| Is he called himself a journalist? Shame on him... Just beautiful ans delivered by sunny.... She already slapped him.. And shuttered the mouth of every negative person like him.
aparnna vp| Hate this person.such shity people asking shity questions.😒😒😒😒 This is Indian media.love u sunny💕💕💕
Bakhtawar Azam| What a piece of shit this guy is, doesn't know what entertainment even means. Son of an ugly bitch, looks like a rotten boiled potato
Antariksh Pasricha| respect ma'am
Anusis Aman| She’s so graceful!!! I’m a fan!!! You go Sunny ♥️♥️
SMKJ blogs| Fuck ibn
Vishva Sheth| It's irony that he tried his level best to disrespect her in the eyes of Indians but the tables simply turned. I respect Sunny more than ever and I would never want to see his face again
Mr Sagar| Sunny u r the best !!
